storeTradable-id|storeId|itemOrUpgradeId|buyFromTrader-TrueOrFalse|sellToTrader-TrueOrFalse|QuantityBuy|QuantitySell
1|1|1|1|1|5|10
2|1|2|1|1|5|10
3|1|3|0|1|5|10
4|1|6|1|1|5|10
5|1|7|1|0|5|10
6|1|10|1|1|5|10
7|1|12|1|1|5|10
8|1|14|1|1|5|10
9|1|15|1|0|5|10
10|1|51|0|1|5|10
11|1|52|1|0|5|10
12|1|53|0|1|5|10
13|1|54|1|1|5|10
14|1|55|1|0|5|10
15|1|56|0|1|5|10
16|1|57|0|1|5|10
17|2|1|1|1|5|10
18|2|3|1|1|5|10
19|2|4|1|1|5|10
20|2|5|0|1|5|10
21|2|8|1|1|5|10
22|2|9|1|0|5|10
23|2|11|1|1|5|10
24|2|12|0|1|5|10
25|2|13|1|1|5|10
26|2|14|0|1|5|10
27|2|51|0|1|5|10
28|2|52|1|0|5|10
29|2|53|0|1|5|10
30|2|54|1|1|5|10
31|2|55|0|1|5|10
32|2|56|1|0|5|10
33|2|57|1|0|5|10
34|3|1|1|1|5|10
35|3|2|1|1|5|10
36|3|3|1|1|5|10
37|3|4|0|1|5|10
38|3|5|1|1|5|10
39|3|9|0|1|5|10
40|3|10|1|0|5|10
41|3|11|1|0|5|10
42|3|52|1|1|5|10
43|3|54|1|1|5|10
44|3|55|0|1|5|10
45|3|56|0|1|5|10
46|4|2|1|1|5|10
47|4|3|1|1|5|10
48|4|4|1|1|5|10
49|4|6|0|1|5|10
50|4|7|0|1|5|10
51|4|12|0|1|5|10
52|4|14|1|0|5|10
53|4|15|1|0|5|10
54|4|51|1|0|5|10
55|4|52|1|0|5|10
56|4|53|1|0|5|10
57|4|54|1|0|5|10
58|4|55|0|1|5|10
59|4|56|0|1|5|10
60|4|57|0|1|5|10
61|5|1|1|1|5|10
62|5|2|0|1|5|10
63|5|3|1|1|5|10
64|5|5|0|1|5|10
65|5|6|1|0|5|10
66|5|8|0|1|5|10
67|5|9|0|1|5|10
68|5|10|1|0|5|10
69|5|14|0|1|5|10
70|5|15|0|1|5|10
71|5|53|1|1|5|10
72|5|55|0|1|5|10
73|5|56|1|1|5|10
